,Open,High,Low,Close,Volume
2024-05-03,172.96574,174.87717,171.00703,171.7048,70641250.0
2024-05-04,172.88846,174.65475,170.84444,171.32294,68970190.0
2024-05-05,172.72641,174.56306,170.74925,171.19168,67872940.0
2024-05-06,172.58733,174.48119,170.65741,171.0607,66945824.0
2024-05-07,172.46577,174.40663,170.5711,170.9427,66161308.0
2024-05-08,172.35977,174.33922,170.49068,170.83653,65498070.0
2024-05-09,172.26765,174.27837,170.41673,170.7415,64938316.0
2024-05-10,172.18748,174.22362,170.34874,170.6567,64466000.0
2024-05-11,172.1177,174.17436,170.28627,170.5811,64067972.0
2024-05-12,172.05693,174.13,170.22902,170.51393,63732756.0
2024-05-13,172.00417,174.09033,170.177,170.45436,63451028.0
2024-05-14,171.95827,174.05487,170.12971,170.40166,63214370.0
2024-05-15,171.91838,174.02293,170.08656,170.35492,63015596.0
2024-05-16,171.88376,173.99449,170.0473,170.31355,62848656.0
2024-05-17,171.85373,173.9687,170.01147,170.2766,62708036.0
2024-05-18,171.82755,173.9455,169.97841,170.2439,62590156.0
2024-05-19,171.80495,173.92485,169.94862,170.21516,62491916.0
2024-05-20,171.78549,173.90659,169.92227,170.18994,62409790.0
2024-05-21,171.76872,173.8905,169.89824,170.16772,62341532.0
2024-05-22,171.75406,173.8763,169.87697,170.14821,62284652.0
2024-05-23,171.74155,173.86377,169.85794,170.13106,62236624.0
2024-05-24,171.73064,173.85255,169.84084,170.11586,62196892.0
2024-05-25,171.7211,173.84264,169.82506,170.10242,62163676.0
2024-05-26,171.71275,173.83368,169.81053,170.09045,62135988.0
2024-05-27,171.70544,173.82558,169.79745,170.07979,62112812.0
2024-05-28,171.69911,173.81834,169.78564,170.07048,62093624.0
2024-05-29,171.69345,173.8118,169.77443,170.06215,62077220.0
2024-05-30,171.68848,173.80574,169.7645,170.05487,62063636.0
2024-05-31,171.68437,173.8005,169.75536,170.04842,62052584.0
2024-06-01,171.68068,173.79599,169.74695,170.04251,62042820.0
