,Open,High,Low,Close,Volume
2024-05-03,176.07286,178.6437,172.51425,181.10179,45651716.0
2024-05-04,175.26941,178.00043,171.65274,180.87962,44348710.0
2024-05-05,174.63751,177.47943,171.03818,180.83913,43306290.0
2024-05-06,174.05225,177.01324,170.47119,180.80971,42491736.0
2024-05-07,173.50952,176.5973,169.95508,180.78961,41863464.0
2024-05-08,173.0076,176.22597,169.48682,180.77513,41385024.0
2024-05-09,172.54369,175.89449,169.06284,180.76387,41025496.0
2024-05-10,172.11508,175.59877,168.67976,180.75487,40758964.0
2024-05-11,171.71924,175.33473,168.33379,180.7471,40564284.0
2024-05-12,171.35358,175.09918,168.02173,180.74037,40424284.0
2024-05-13,171.01672,174.88892,167.74022,180.73395,40325460.0
2024-05-14,170.70557,174.70139,167.48619,180.72812,40257200.0
2024-05-15,170.41882,174.53406,167.25732,180.72264,40211292.0
2024-05-16,170.15504,174.3849,167.05116,180.71745,40181440.0
2024-05-17,169.91154,174.2517,166.86517,180.7125,40162910.0
2024-05-18,169.68788,174.133,166.69756,180.7081,40152212.0
2024-05-19,169.48212,174.02711,166.54675,180.70416,40146664.0
2024-05-20,169.2932,173.93304,166.41107,180.70056,40144610.0
2024-05-21,169.1196,173.84927,166.2892,180.69751,40144670.0
2024-05-22,168.96092,173.7748,166.17929,180.69498,40145936.0
2024-05-23,168.81558,173.70848,166.08086,180.6929,40147636.0
2024-05-24,168.68205,173.6497,165.99246,180.69083,40149650.0
2024-05-25,168.5588,173.59727,165.91254,180.68892,40151644.0
2024-05-26,168.44492,173.55064,165.84052,180.68745,40153490.0
2024-05-27,168.34084,173.50948,165.77682,180.68625,40155024.0
2024-05-28,168.24397,173.47247,165.71854,180.68488,40156320.0
2024-05-29,168.15427,173.43915,165.66533,180.68364,40157308.0
2024-05-30,168.07205,173.40932,165.61769,180.68303,40157748.0
2024-05-31,167.99634,173.38254,165.57458,180.68198,40157936.0
2024-06-01,167.92685,173.35867,165.53546,180.6806,40158252.0
