,Open,High,Low,Close,Volume
2024-05-03,74.04074,74.875595,73.05286,74.53536,15970452.0
2024-05-04,73.822,74.61223,72.855225,74.242195,15380513.0
2024-05-05,73.630844,74.393875,72.70511,73.99387,14940535.0
2024-05-06,73.46428,74.210655,72.58292,73.78172,14613355.0
2024-05-07,73.31981,74.05672,72.48292,73.6005,14374261.0
2024-05-08,73.195015,73.92711,72.40056,73.44571,14202880.0
2024-05-09,73.08768,73.8178,72.33245,73.3135,14082739.0
2024-05-10,72.9957,73.72552,72.27597,73.20063,14000763.0
2024-05-11,72.917145,73.64747,72.228966,73.10428,13946679.0
2024-05-12,72.85024,73.58132,72.18973,73.02202,13912641.0
2024-05-13,72.79344,73.52526,72.15686,72.951805,13892699.0
2024-05-14,72.7453,73.477615,72.129234,72.89184,13882378.0
2024-05-15,72.7046,73.43706,72.1059,72.8406,13878449.0
2024-05-16,72.67023,73.40246,72.0861,72.7968,13878573.0
2024-05-17,72.64126,73.372986,72.06931,72.75938,13881032.0
2024-05-18,72.61689,73.347946,72.055336,72.72749,13884744.0
2024-05-19,72.59641,73.32661,72.04357,72.70026,13888929.0
2024-05-20,72.579216,73.30845,72.03365,72.676994,13893129.0
2024-05-21,72.5648,73.29297,72.02527,72.657135,13897037.0
2024-05-22,72.552704,73.27975,72.01811,72.64013,13900514.0
2024-05-23,72.54259,73.26846,72.01204,72.625595,13903534.0
2024-05-24,72.53411,73.25876,72.00678,72.613106,13906080.0
2024-05-25,72.527016,73.25039,72.00214,72.60237,13908169.0
2024-05-26,72.52107,73.24316,71.99798,72.59313,13909851.0
2024-05-27,72.516106,73.23695,71.99438,72.585205,13911160.0
2024-05-28,72.51193,73.231575,71.99119,72.578415,13912186.0
2024-05-29,72.508446,73.227,71.98842,72.57258,13912961.0
2024-05-30,72.50553,73.22309,71.9861,72.56761,13913540.0
2024-05-31,72.5031,73.21975,71.984085,72.563324,13913954.0
2024-06-01,72.50105,73.21669,71.982155,72.55954,13914361.0
