,Open,High,Low,Close,Volume
2024-05-03,171.18687,173.47682,168.06384,170.79951,31675646.0
2024-05-04,172.1512,174.6841,168.98526,171.74602,31381004.0
2024-05-05,172.97696,175.66977,169.74756,172.52046,31144868.0
2024-05-06,173.71378,176.56062,170.44704,173.20285,30950832.0
2024-05-07,174.37157,177.36668,171.08731,173.80185,30791498.0
2024-05-08,174.9593,178.09627,171.67302,174.3282,30660740.0
2024-05-09,175.48474,178.75665,172.20863,174.79085,30553438.0
2024-05-10,175.95448,179.35457,172.6983,175.19772,30465470.0
2024-05-11,176.3749,179.89584,173.14607,175.55531,30393324.0
2024-05-12,176.75111,180.38596,173.55556,175.86993,30334092.0
2024-05-13,177.08815,180.82964,173.92986,176.14636,30285566.0
2024-05-14,177.38976,181.2311,174.27151,176.38927,30245798.0
2024-05-15,177.65953,181.5943,174.58325,176.60274,30213076.0
2024-05-16,177.90102,181.92307,174.8679,176.7905,30186272.0
2024-05-17,178.11742,182.2204,175.12772,176.95549,30164258.0
2024-05-18,178.31117,182.48941,175.36493,177.10051,30146244.0
2024-05-19,178.48466,182.7329,175.58162,177.22806,30131488.0
2024-05-20,178.64041,182.95334,175.77951,177.34029,30119488.0
2024-05-21,178.78012,183.1528,175.9602,177.43893,30109666.0
2024-05-22,178.90533,183.33325,176.12534,177.52579,30101694.0
2024-05-23,179.01747,183.49654,176.27625,177.60204,30095112.0
2024-05-24,179.11809,183.64438,176.41391,177.669,30089854.0
2024-05-25,179.20811,183.77765,176.53952,177.72754,30085684.0
2024-05-26,179.28874,183.89827,176.65413,177.77913,30082324.0
2024-05-27,179.36139,184.00754,176.75916,177.82455,30079570.0
2024-05-28,179.4252,184.10585,176.85341,177.8643,30077174.0
2024-05-29,179.48285,184.19495,176.93996,177.89934,30075348.0
2024-05-30,179.53473,184.27571,177.01926,177.93018,30073886.0
2024-05-31,179.58133,184.34871,177.09167,177.95721,30072700.0
2024-06-01,179.6231,184.41476,177.15775,177.98091,30071748.0
