,Open,High,Low,Close,Volume
2024-05-03,416.93082,425.93954,417.16406,433.33224,17009848.0
2024-05-04,413.2801,421.65726,414.3918,430.96484,16967454.0
2024-05-05,410.37985,417.93268,412.09723,429.0325,16991186.0
2024-05-06,407.80344,414.41388,410.0118,427.28943,17048630.0
2024-05-07,405.5091,411.07947,408.13538,425.7155,17117780.0
2024-05-08,403.46683,407.92554,406.4515,424.2956,17185710.0
2024-05-09,401.6491,404.9442,404.94522,423.01358,17245878.0
2024-05-10,400.03098,402.1347,403.60092,421.85602,17295736.0
2024-05-11,398.5911,399.4861,402.4047,420.81046,17335042.0
2024-05-12,397.3091,396.98294,401.34213,419.86642,17364798.0
2024-05-13,396.16846,394.6289,400.3976,419.01254,17386480.0
2024-05-14,395.15305,392.4201,399.56006,418.24268,17401708.0
2024-05-15,394.24994,390.34985,398.81873,417.548,17412008.0
2024-05-16,393.4482,388.4063,398.1637,416.92023,17418678.0
2024-05-17,392.73428,386.58084,397.586,416.35297,17422772.0
2024-05-18,392.0994,384.86646,397.0736,415.84235,17425108.0
2024-05-19,391.5348,383.25607,396.6205,415.38266,17426282.0
2024-05-20,391.03488,381.75208,396.2202,414.96777,17426722.0
2024-05-21,390.58954,380.34607,395.86475,414.5937,17426740.0
2024-05-22,390.1923,379.02097,395.5544,414.25497,17426528.0
2024-05-23,389.838,377.7891,395.28198,413.95142,17426248.0
2024-05-24,389.52527,376.6419,395.044,413.6769,17425950.0
2024-05-25,389.24576,375.56226,394.83704,413.42673,17425670.0
2024-05-26,388.99628,374.5423,394.65488,413.20074,17425472.0
2024-05-27,388.78088,373.61606,394.48758,413.00262,17425322.0
2024-05-28,388.58804,372.74805,394.34137,412.8236,17425190.0
2024-05-29,388.41577,371.93817,394.2122,412.66333,17425082.0
2024-05-30,388.26297,371.17896,394.09933,412.51907,17425006.0
2024-05-31,388.12756,370.46384,394.00043,412.38763,17424952.0
2024-06-01,388.00604,369.79596,393.91415,412.2685,17424914.0
