,Open,High,Low,Close,Volume
2024-05-03,397.28516,410.29233,393.993,400.3836,20454290.0
2024-05-04,396.70892,410.87326,393.415,400.12994,20362898.0
2024-05-05,396.24106,411.37073,393.014,400.01157,20283198.0
2024-05-06,395.83148,411.829,392.65726,399.89825,20222562.0
2024-05-07,395.47318,412.25015,392.34137,399.79788,20176774.0
2024-05-08,395.15994,412.63644,392.06226,399.70834,20142374.0
2024-05-09,394.88577,412.98996,391.81595,399.62784,20116762.0
2024-05-10,394.646,413.31418,391.59906,399.55606,20097766.0
2024-05-11,394.43625,413.61093,391.40817,399.49213,20083764.0
2024-05-12,394.2526,413.88208,391.24033,399.4352,20073472.0
2024-05-13,394.0919,414.13025,391.09277,399.38333,20065976.0
2024-05-14,393.9511,414.35706,390.96307,399.33704,20060546.0
2024-05-15,393.82788,414.5644,390.84906,399.29523,20056626.0
2024-05-16,393.72012,414.754,390.74893,399.25818,20053762.0
2024-05-17,393.6256,414.9269,390.66104,399.22488,20051668.0
2024-05-18,393.54288,415.085,390.58392,399.1955,20050126.0
2024-05-19,393.4703,415.22925,390.51617,399.17004,20049002.0
2024-05-20,393.40692,415.362,390.45663,399.14713,20048186.0
2024-05-21,393.35123,415.48328,390.40445,399.12674,20047582.0
2024-05-22,393.30273,415.5949,390.35873,399.10895,20047078.0
2024-05-23,393.2604,415.69705,390.31863,399.09387,20046626.0
2024-05-24,393.22333,415.79092,390.28348,399.08038,20046338.0
2024-05-25,393.19095,415.87585,390.25262,399.06757,20046148.0
2024-05-26,393.16245,415.9529,390.22546,399.05594,20046020.0
2024-05-27,393.1378,416.02454,390.20172,399.04657,20045640.0
2024-05-28,393.11554,416.08887,390.1806,399.03717,20045418.0
2024-05-29,393.0963,416.14838,390.1623,399.02917,20045300.0
2024-05-30,393.07968,416.2032,390.1464,399.0237,20045130.0
2024-05-31,393.06525,416.2532,390.1323,399.01807,20045028.0
2024-06-01,393.05246,416.29904,390.11993,399.01273,20044988.0
