,Open,High,Low,Close,Volume
2024-05-03,524.7022,535.8617,523.90344,536.4981,3544280.8
2024-05-04,520.596,533.2512,519.6001,533.50146,3636355.2
2024-05-05,517.0032,530.41943,515.9533,531.13904,3724113.8
2024-05-06,513.76227,527.9216,512.74744,529.116,3802876.2
2024-05-07,510.8416,525.7022,509.9227,527.3984,3870081.2
2024-05-08,508.21216,523.73016,507.43228,525.9414,3924714.0
2024-05-09,505.84424,521.9724,505.23578,524.70654,3966999.0
2024-05-10,503.71048,520.4032,503.29764,523.66125,3997875.5
2024-05-11,501.78836,518.9973,501.58768,522.7764,4018773.2
2024-05-12,500.05435,517.74054,500.07904,522.0273,4031392.8
2024-05-13,498.49225,516.61707,498.7474,521.3939,4037463.2
2024-05-14,497.0823,515.6109,497.57245,520.8594,4038644.8
2024-05-15,495.81262,514.7084,496.53574,520.4074,4036370.0
2024-05-16,494.67227,513.90137,495.6211,520.02576,4031882.5
2024-05-17,493.64194,513.17505,494.81305,519.7034,4026201.8
2024-05-18,492.7125,512.524,494.09973,519.4314,4020091.5
2024-05-19,491.87482,511.93726,493.4709,519.20215,4014140.2
2024-05-20,491.1233,511.41113,492.91684,519.0095,4008706.0
2024-05-21,490.4439,510.94235,492.42862,518.8469,4004049.0
2024-05-22,489.83075,510.5212,491.99805,518.7097,4000091.2
2024-05-23,489.28433,510.15118,491.61954,518.59375,3996767.2
2024-05-24,488.79422,509.82404,491.28604,518.49567,3994413.0
2024-05-25,488.35132,509.52692,490.9915,518.413,3992881.8
2024-05-26,487.94907,509.25955,490.7317,518.3435,3991961.8
2024-05-27,487.59073,509.02026,490.50296,518.28503,3991566.8
2024-05-28,487.26694,508.80728,490.3005,518.2356,3991531.8
2024-05-29,486.97443,508.61673,490.12112,518.19354,3991782.5
2024-05-30,486.71112,508.4409,489.96277,518.1586,3992172.5
2024-05-31,486.47583,508.28308,489.82333,518.1294,3992639.0
2024-06-01,486.263,508.14072,489.7003,518.10474,3993132.8
