,Open,High,Low,Close,Volume
2024-05-03,838.4185,869.7215,840.82733,864.208,45348144.0
2024-05-04,835.7344,867.69403,840.70233,863.002,45510120.0
2024-05-05,834.1927,867.05554,840.9615,863.16187,45596384.0
2024-05-06,832.9104,866.5546,841.16266,863.35516,45663760.0
2024-05-07,831.8638,866.1651,841.34503,863.5493,45715940.0
2024-05-08,831.00525,865.85846,841.5064,863.7361,45757956.0
2024-05-09,830.29926,865.615,841.648,863.91095,45791148.0
2024-05-10,829.71796,865.4203,841.7726,864.0727,45817692.0
2024-05-11,829.2379,865.2639,841.8814,864.2208,45839096.0
2024-05-12,828.8414,865.1376,841.977,864.35645,45855980.0
2024-05-13,828.51373,865.03516,842.06006,864.47705,45869916.0
2024-05-14,828.24243,864.952,842.1319,864.5854,45881784.0
2024-05-15,828.01807,864.88416,842.19543,864.6834,45890520.0
2024-05-16,827.83246,864.8292,842.25037,864.7689,45897930.0
2024-05-17,827.67834,864.7841,842.2971,864.84247,45903996.0
2024-05-18,827.5502,864.7478,842.33716,864.90857,45909180.0
2024-05-19,827.4442,864.718,842.37213,864.96796,45913332.0
2024-05-20,827.3565,864.6941,842.40247,865.02,45917160.0
2024-05-21,827.2839,864.67456,842.42914,865.06726,45919756.0
2024-05-22,827.2238,864.6587,842.4525,865.1095,45922536.0
2024-05-23,827.1743,864.6457,842.475,865.1522,45921910.0
2024-05-24,827.134,864.6348,842.49475,865.1882,45922996.0
2024-05-25,827.0999,864.626,842.51044,865.2184,45924680.0
2024-05-26,827.0715,864.61847,842.5241,865.2468,45925640.0
2024-05-27,827.04834,864.6126,842.5369,865.2702,45926950.0
2024-05-28,827.0285,864.60754,842.5467,865.2875,45927284.0
2024-05-29,827.01166,864.60345,842.5545,865.3018,45928336.0
2024-05-30,826.9976,864.5999,842.5608,865.31573,45929612.0
2024-05-31,826.98627,864.5971,842.5677,865.3302,45929664.0
2024-06-01,826.97675,864.59503,842.5735,865.341,45930588.0
