,Open,High,Low,Close,Volume
2024-05-03,166.66304,170.62718,164.13582,166.73909,108598540.0
2024-05-04,165.81075,169.3718,163.18411,165.62854,108510090.0
2024-05-05,165.13397,168.44261,162.41075,164.8425,108419896.0
2024-05-06,164.58466,167.73561,161.79445,164.23383,108333540.0
2024-05-07,164.13872,167.19594,161.305,163.76329,108256020.0
2024-05-08,163.77664,166.78316,160.91756,163.39813,108186504.0
2024-05-09,163.48262,166.4668,160.61182,163.11392,108124696.0
2024-05-10,163.24377,166.2239,160.37132,162.89218,108068744.0
2024-05-11,163.04979,166.03708,160.18282,162.71881,108021530.0
2024-05-12,162.89224,165.89308,160.03548,162.58301,107978890.0
2024-05-13,162.7643,165.78198,159.92065,162.47661,107941180.0
2024-05-14,162.66042,165.69606,159.83156,162.39307,107910710.0
2024-05-15,162.5761,165.62956,159.76262,162.32745,107884620.0
2024-05-16,162.50768,165.578,159.70941,162.27592,107863250.0
2024-05-17,162.45216,165.538,159.66853,162.23544,107844540.0
2024-05-18,162.40726,165.50693,159.6372,162.20364,107829860.0
2024-05-19,162.37085,165.4828,159.61325,162.17863,107815784.0
2024-05-20,162.34138,165.46405,159.59496,162.15904,107803890.0
2024-05-21,162.31752,165.44951,159.58109,162.1436,107794370.0
2024-05-22,162.29823,165.43817,159.57057,162.13152,107785620.0
2024-05-23,162.28264,165.42935,159.56265,162.12201,107778616.0
2024-05-24,162.26985,165.42249,159.55666,162.11456,107771680.0
2024-05-25,162.2595,165.41716,159.55219,162.10872,107764800.0
2024-05-26,162.25095,165.41293,159.54898,162.10406,107755976.0
2024-05-27,162.244,165.40964,159.54655,162.10046,107751130.0
2024-05-28,162.23836,165.40706,159.54492,162.09761,107747950.0
2024-05-29,162.23381,165.40495,159.54385,162.09532,107738630.0
2024-05-30,162.23012,165.40332,159.54309,162.09358,107736630.0
2024-05-31,162.2272,165.40205,159.54257,162.09224,107736584.0
2024-06-01,162.22491,165.40106,159.54224,162.09117,107736740.0
